Supplementary Table 2: The GWAS summary statistics for imaging-derived phenotypes used in this research.,,,,,,,,,
TraitCategory,TraitCategoryAbbr,Trait,TraitAbbr,DataSource,Population,Sample size,FileLink,PMID,Year
White matter microstructure phenotype,WMMP,Mean FA of anterior corona radiata,ACR_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of anterior limb of internal capsule,ALIC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Average FA across all the 21 white matter tracts,Average_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of body of corpus callosum,BCC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of cingulum (cingulate gyrus) ,CGC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of cingulum (hippocampus) ,CGH_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of corticospinal tract ,CST_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of external capsule ,EC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of fornix (column and body of fornix),FX_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of fornix-stria terminalis ,FXST_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of genu of corpus callosum,GCC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of inferior fronto-occipital fasciculus,IFO_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of posterior corona radiata ,PCR_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of posterior limb of internal capsule,PLIC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of posterior thalamic radiation,PTR_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of retrolenticular part of internal capsule,RLIC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of splenium of corpus callosum,SCC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of superior corona radiata,SCR_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of superior fronto-occipital fasciculus,SFO_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of superior longitudinal fasciculus,SLF_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of sagittal stratum,SS_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
White matter microstructure phenotype,WMMP,Mean FA of uncinate fasciculus,UNC_FA,UKB,EUR,"33,292",https://www.med.unc.edu/bigs2/data/gwas-summary-statistics/,34140357,2021
