pheno	tissue	gene	gene_name	gene_biotype	b.smr	p.smr	p_HEIDI.smr	fdr.smr	Ifsigif.smr	b.wr_ivw	p.wr_ivw	Q_pval.wr_ivw	pval_egger_intercept.wr_ivw	fdr.wr_ivw	Ifsigif.wr_ivw	b.pmregger	p.pmregger	fdr.pmregger	Ifsigif.pmregger	b.gsmr	p.gsmr	fdr.gsmr	Ifsigif.gsmr	direction
EA	Oligodendrocytes	ENSG00000005700	IBTK	protein_coding	-	-	-	-	-	-0.013859669715493	0.0229615331942754	-	-	0.0495331658001153	TRUE	-0.0357280175975355	0.00302196837751923	0.0096210773534277	TRUE	-	-	-	-	Consistent
SC	Oligodendrocytes	ENSG00000021355	SERPINB1	protein_coding	-0.0303751	0.0242103	0.788028	0.0702316810810811	FALSE	-0.0310270282976364	0.013906317935853	-	-	0.0343820518036125	TRUE	-0.00449934431738409	0.7731478233995	1	FALSE	-0.0334627525208295	0.00801575314017731	0.0283880980441356	TRUE	Consistent
NEU	Oligodendrocytes	ENSG00000021776	AQR	protein_coding	-	-	-	-	-	0.020355742604938	1.14924789721069e-05	-	-	0.000157685094365034	TRUE	0.154627797692843	1.57604377794374e-41	3.23088974478467e-40	TRUE	0.0174927588928588	0.000942039847328992	0.00704121877161694	TRUE	Consistent
INS	Oligodendrocytes	ENSG00000023608	SNAPC1	protein_coding	-0.0230138	0.01079569	0.8891696	0.04558968	TRUE	-0.0230138394948599	0.00610596195228171	-	-	0.0197859150070746	TRUE	-0.00248631416700925	0.897998940839571	1	FALSE	-0.0227654581604157	0.00939110500810088	0.0316057364453921	TRUE	Consistent
BIP	Excitatory.neurons	ENSG00000029639	TFB1M	protein_coding	-	-	-	-	-	-0.122357654100869	0.000304981063402144	-	-	0.00239425855444054	TRUE	-0.103091504263661	1.3777961304542e-18	1.31595187232586e-17	TRUE	-	-	-	-	Consistent
SCZ	OPCs...COPs	ENSG00000031081	ARHGAP31	protein_coding	-	-	-	-	-	-0.0407644451692007	0.0150568714263769	-	-	0.036412500886002	TRUE	-0.0877423068474008	1.2146962075132e-12	7.91435784817709e-12	TRUE	-0.0328278328589268	0.0545128310477581	0.0980371538824931	FALSE	Consistent
EA	Oligodendrocytes	ENSG00000035115	SH3YL1	protein_coding	-	-	-	-	-	0.00971781121976164	0.00978507320446997	-	-	0.026851651334068	TRUE	0.025247754607107	5.99273442765256e-11	3.54710794819857e-10	TRUE	-	-	-	-	Consistent
SCZ	Microglia	ENSG00000037474	NSUN2	protein_coding	-0.0434909	0.00165267	0.2562743	0.0200814996226415	TRUE	-0.0429302190733325	0.000927074104334807	-	-	0.00535584416628518	TRUE	-0.00326473470837782	0.697273281047443	1	FALSE	-0.0385139651618874	0.00453387928158998	0.019618402455301	TRUE	Consistent
SCZ	OPCs...COPs	ENSG00000037474	NSUN2	protein_coding	-0.0347613	0.0007394729	0.2464904	0.0144309256848485	TRUE	-0.0347612848139522	0.000349477848003384	-	-	0.00265844034562388	TRUE	-0.00670686786087305	0.21763187789168	0.488436831423116	FALSE	-0.0313628853467126	0.00190484669141795	0.0107474438324611	TRUE	Consistent
BIP	OPCs...COPs	ENSG00000037474	NSUN2	protein_coding	-0.0366632	0.001519211	0.1029555	0.0191837624313725	TRUE	-0.0366631968569557	0.000849764151922528	-	-	0.00507525805246279	TRUE	-0.00248510598412799	0.60840696649445	1	FALSE	-0.0326548425512726	0.00359744004035823	0.0173249099851562	TRUE	Consistent
