pheno	tissue	gene	gene_name	gene_biotype	b.smr	p.smr	p_HEIDI.smr	fdr.smr	Ifsigif.smr	b.wr_ivw	p.wr_ivw	Q_pval.wr_ivw	pval_egger_intercept.wr_ivw	fdr.wr_ivw	Ifsigif.wr_ivw	b.pmregger	p.pmregger	fdr.pmregger	Ifsigif.pmregger	b.gsmr	p.gsmr	fdr.gsmr	Ifsigif.gsmr	direction
SS_FA	Oligodendrocytes	ENSG00000003393	ALS2	protein_coding	0.0616231	0.004451274	0.3748453	0.112348868037242	FALSE	0.0616230650417133	0.00188212863569825	-	-	0.0310874179728861	TRUE	0.00884438954929174	0.648262667728259	1	FALSE	0.0474660425563929	5.42102096156143e-12	4.26501707672634e-10	TRUE	Consistent
CGC_FA	Oligodendrocytes	ENSG00000003393	ALS2	protein_coding	-	-	-	-	-	0.0588295106256264	0.0025333657829628	-	-	0.0371806999368691	TRUE	0.0108665405440642	0.62913840158812	1	FALSE	0.0777228942550395	1.21750569694672e-25	1.80986198628532e-23	TRUE	Consistent
ACR_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.106404	0.0002308669	0.5970898	0.0375886831184615	TRUE	0.106722182332219	1.99361058527744e-06	-	-	0.000221736288295029	TRUE	0.0211674375556282	0.634466760933617	1	FALSE	0.0985462269171386	0.000374078396996369	0.0127488331105375	TRUE	Consistent
BCC_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.120567	0.0001216594	0.8201498	0.0260984073689189	TRUE	0.121763300199699	2.63721105492833e-07	-	-	4.1077656381205e-05	TRUE	0.0064311105979174	0.866147199711124	1	FALSE	0.119448640432199	9.83160223865802e-05	0.00394090050710002	TRUE	Consistent
SFO_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.0899539	0.001482543	0.8087044	0.080875013242268	FALSE	0.0901496623061907	0.000148496097386606	-	-	0.00609031617665637	TRUE	0.0191726811501877	0.63505283407105	1	FALSE	0.0879850041876917	0.0014584809052461	0.0373509963853471	TRUE	Consistent
EC_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.100424	0.0005206716	0.2742585	0.05419935288	FALSE	0.100748592007539	1.53243864337914e-05	-	-	0.0011380137299008	TRUE	0.0314533607780028	0.505630586271728	1	FALSE	0.0874602289071049	0.00146085804941676	0.0373509963853471	TRUE	Consistent
ALIC_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.104775	0.0003937049	0.7905167	0.0462734321371324	TRUE	0.104913669306886	8.15409580687788e-06	-	-	0.000687454743150725	TRUE	0.0123381358199739	0.771020218511782	1	FALSE	0.0986741928181866	0.000535644656765996	0.0173174210234445	TRUE	Consistent
PLIC_FA	Astrocytes	ENSG00000011590	ZBTB32	protein_coding	0.123913	9.619123e-05	0.9627874	0.0234921181636154	TRUE	0.123914275136312	1.66665044072984e-07	-	-	2.74462976777594e-05	TRUE	0.0234873775860613	0.557659152985691	1	FALSE	0.121430491467216	8.50366608958003e-05	0.00345543200909281	TRUE	Consistent
SCR_FA	Astrocytes	ENSG00000015133	CCDC88C	protein_coding	0.0801171	9.114942e-05	0.9853586	0.02315122348464	TRUE	0.0799577797364498	2.91807894661283e-06	-	-	0.000296824303949624	TRUE	0.00615346247356175	0.867504267704814	1	FALSE	0.0775137856331894	3.61418860882689e-239	2.13829854852634e-235	TRUE	Consistent
PLIC_FA	Astrocytes	ENSG00000015133	CCDC88C	protein_coding	0.0635395	0.0008215027	0.9119987	0.064241106458867	FALSE	0.0638707711727005	0.000138451597638593	-	-	0.00579401807149829	TRUE	0.00235143207102049	0.945005433426837	1	FALSE	0.0597463408620215	1.14287459975562e-163	3.38085164099707e-160	TRUE	Consistent
